_id,tanggal,jam,title,deskripsi
28,2017-06-07T00:00:00,10:00:00,"RAKER DAN RDP KOMISI V DPR RI DGN MENPUPR, MENDESA, PDT DAN TRANS, DAN BPWS",Membahas RKP RAPBN TA 2018
29,2017-06-07T00:00:00,10:00:00,RAPAT PANJA PANSUS RUU TENTANG PEMBERANTASAN TINDAK PIDANA TERORISME,"AGENDA: PEMBAHASAN DIM, bertempat di Ruang Rapat KK 1, Gedung Nusantara."
30,2017-06-07T00:00:00,10:00:00,Komisi IX DPR RI Raker dengan Menteri Kesehatan,acara: Pembahasan RKA K/L & RKP K/L 2018
31,2017-06-07T00:00:00,10:00:00,Raker Komisi X DPR RI dengan Menteri Pemuda dan Olahraga RI,"1. Pembahasan RKA K/L Tahun 2018;
2. Dan lain-lain"
32,2017-06-07T00:00:00,10:00:00,"RAKER/RDP KOMISI IV DPR RI DGN MENTAN, MEN KKP,  SEKJEN DAN DIRJEN BINA PEMBANGUNAN KEMENDAGRI, SEKJEN DAN DIRJEN PERDAGANGAN KEMENDAG, DIRUT PERUM BULOG, KETUM KPPU",STABILISASI KETERSEDIAAN DAN HARGA PANGAN MENJELANG HARI RAYA IDU FIITRI 1438 H SERTA ISU-ISU AKTUAL TERKAIT PANGAN.
33,2017-06-07T00:00:00,12:00:00,Badan Anggaran DPR RI - Rapat Panja dengan Pemerintah,"Membahas Asumsi Dasar, Kebijakan Fiskal, Pendapatan, Defisit dan Pembiayaan - RAPBN TA. 2018"
34,2017-06-07T00:00:00,13:00:00,"KOMISI III RDP dengan SEKT MA, SEKJEN MPR, SEKJEN DPD, SEKJEN KY DAN SEKJEN MK",PEMBAHASAN TERKAIT RKA K-L DAN RKP K-L TH 2108
35,2017-06-07T00:00:00,13:15:00,Baleg terima audiensi Kami Musik Indonesia,Baleg menerima artis-artis yang tergabung dalam Kami Musk Indonesia terkait RUU Permusikan
36,2017-06-07T00:00:00,14:00:00,RDPU Komisi X DPR RI dengan Ketua Kami Musik Indonesia dan Insan Musik Indonesia,Mendapatkan masukan terkait RUU tentang Tata Kelola Musik/Permusikan Indonesia.
37,2017-06-07T00:00:00,15:00:00,RAPAT PANJA RUU ARSITEK,Laporan hasil keja Timus kepada Panja
38,2017-06-07T00:00:00,19:30:00,Rapat Panja (tertutup) Harmonisasi RUU Konservasi Sumber Daya Alam Hayati dan Ekosistemnya,Rapat Panja Harmonisasi RUU ttg Sumber Daya Alam Hayati dengan Ekosistemnya dengan Pengusul
39,2017-06-08T00:00:00,10:00:00,Rapat Kerja Komisi I DPR RI dengan Menteri Komunikasi dan Informatika RI.,Pembahasan RKA KL dan RKP KL Kementerian Komunikasi dan Informatika RI T.A. 2018.
40,2017-06-08T00:00:00,10:00:00,Rapat Intern Panja RUU Perubahan UU No 19 Tahun 2003 tentang BUMN,Membahas RUU Perubahan UU No 19 Tahun 2003 tentang BUMN
41,2017-06-08T00:00:00,10:00:00,"RDP Komisi II DPR RI dengan KPU, Bawaslu dan Dirjen Otda Kemendagri",Membahas PKPU
42,2017-06-08T00:00:00,10:00:00,"RAKER DAN RDP KOMISI V DPR RI DGN MENHUB, MENPUPR, BMKG, BNPP, KORLANTAS",Membahas persiapan angkutan Lebaran tahun 2017
43,2017-06-08T00:00:00,10:00:00,"Badan Anggaran DPR RI - Rapat Kerja dengan Menko Bidang Perekonomian, Menko Bidang Politik, Hukum dan Keamanan, Menko Bidang Pembangunan Manusia dan Kebudayaan dan Menko Bidang Kemaritiman","1. Membahas RKA K/L Kemenko-kemenko dalam RAPBN TA. 2018
2. Rencana Kerja K/L Tahun 2018"
44,2017-06-08T00:00:00,12:30:00,Wakil Ketua DPR RI/Korpolkam menerima Duta Besar Qatar,"Wakil Ketua DPR RI/Korpolkam menerima Duta Besar Qatar. Tempat Gd. Nusantara III, Lt. 3 DPR RI"
